nb_shards,nb_requests,accuracy,retraining_time
5,0,0.973034574,142.9339247
5,1,0.97297037,28.73433924
5,2,0.973002472,28.94635534
5,3,0.972874065,58.84902763
5,4,0.973451896,57.69825411
5,5,0.973130879,87.29315233
5,6,0.973548201,115.3566074
5,7,0.972713557,86.56728911
5,8,0.972841963,144.7681208
5,9,0.972938268,143.8127491
5,10,0.973355591,144.7535815
5,11,0.973323489,145.3512952
5,12,0.972713557,145.6993318
5,13,0.973066675,115.8567441
5,14,0.972809862,144.5556707
5,15,0.972328336,143.210067
10,0,0.965715386,148.6496878
10,2,0.965683285,29.18924212
10,4,0.966100607,45.05510354
10,6,0.965619081,59.73994088
10,8,0.966068505,119.4192047
10,10,0.966517929,105.0686402
10,12,0.965651183,89.39693403
10,14,0.9659722,118.9082668
10,16,0.965651183,135.679373
10,18,0.966389522,133.6492069
10,20,0.966293217,119.1693995
10,22,0.965940098,134.4281783
10,24,0.966453725,134.3093071
10,26,0.966068505,134.4094217
10,28,0.965458573,148.8602369
10,30,0.966453725,150.4329314
10,0,0.965715386,148.6496878
10,2,0.965683285,29.18924212
10,4,0.966100607,45.05510354
10,6,0.965619081,59.73994088
10,8,0.966068505,119.4192047
10,10,0.966517929,105.0686402
10,12,0.965651183,89.39693403
10,14,0.9659722,118.9082668
10,16,0.965651183,135.679373
10,18,0.966389522,133.6492069
10,20,0.966293217,119.1693995
10,22,0.965940098,134.4281783
10,24,0.966453725,134.3093071
10,26,0.966068505,134.4094217
10,28,0.965458573,148.8602369
10,30,0.966453725,150.4329314
20,0,0.95626284,151.5104742
20,4,0.95674435,30.35682678
20,8,0.956680149,53.44074583
20,12,0.956375193,83.35944009
20,16,0.956407293,61.05139303
20,20,0.957177709,115.8559806
20,24,0.95674435,91.30536771
20,28,0.95671225,98.90383887
20,32,0.95623074,121.5417011
20,36,0.956824602,123.1989701
20,40,0.956134438,137.3810899
20,44,0.956294941,144.6223416
20,48,0.956872753,152.4814224
20,52,0.955925783,145.0179257
20,56,0.957001156,144.6763306
20,60,0.956696199,144.7018492
2,0,0.981991525,149.7913597
2,0,0.981991525,149.7913597
2,0,0.981991525,149.7913597
2,1,0.982264381,75.00027633
2,1,0.982264381,75.00027633
2,2,0.981798921,74.26385689
2,2,0.981798921,74.26385689
2,2,0.981798921,74.26385689
2,3,0.981798921,148.6600235
2,3,0.981798921,148.6600235
2,4,0.982473035,74.53041005
2,4,0.982473035,74.53041005
2,4,0.982473035,74.53041005
2,5,0.981975475,149.1943693
2,5,0.981975475,149.1943693
2,6,0.982119928,152.1950657
8,0,0.967706728,149.5675197
8,1,0.967578326,38.12246323
8,3,0.967658577,58.45888996
8,4,0.967128916,76.27075005
8,6,0.967096816,94.21215248
8,8,0.967546225,113.1748452
8,9,0.967626477,131.7505629
8,11,0.967241269,132.9424636
8,12,0.967754879,131.3099501
8,14,0.967642527,150.6324782
8,16,0.967257319,151.3200734
8,17,0.967032614,132.7265821
8,19,0.967417822,130.6816356
8,20,0.966968413,131.3295619
8,22,0.967369671,132.8882356
8,24,0.966968413,150.3129466
12,0,0.962923729,150.1711183
12,2,0.962634823,24.98882318
12,4,0.962618772,50.46515083
12,7,0.962811376,87.69940066
12,9,0.963308937,75.26012135
12,12,0.962442219,75.59196234
12,14,0.962939779,101.51596
12,16,0.963196584,125.6130538
12,19,0.96249037,126.2549102
12,21,0.962795326,127.1139207
12,24,0.962458269,112.0554359
12,26,0.962538521,138.4277196
12,28,0.962779276,137.3960042
12,31,0.962554571,150.3921814
12,33,0.962747175,151.163671
12,36,0.962923729,150.5898128
18,0,0.957916025,150.2152162
18,3,0.958044427,16.76322031
18,7,0.957851823,42.0553534
18,10,0.957948125,67.81957936
18,14,0.957803672,67.73499513
18,18,0.957739471,83.86029196
18,21,0.957643169,109.6745863
18,25,0.957964176,127.1464097
18,28,0.958333333,135.3653834
18,32,0.957980226,110.01089
18,36,0.958606189,143.9381158
18,39,0.957578968,127.102818
18,43,0.957659219,143.8165858
18,46,0.957546867,143.1055005
18,50,0.957964176,143.2091436
18,54,0.957659219,151.4314461
